Tipo_dia|Modo|Paradero|Comuna|Media_hora|Subidas_Promedio
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.875|2.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.8958333333333334|1.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.9166666666666666|0.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.9375|0.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.9583333333333334|0.0
LABORAL|Bus|E-10-71-PO-51|PUDAHUEL|0.9791666666666666|0.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.0|0.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.1875|0.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.20833333333333334|15.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.22916666666666666|36.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.25|67.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.2708333333333333|99.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.2916666666666667|126.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.3125|92.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.3333333333333333|81.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.3541666666666667|53.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.375|54.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.3958333333333333|46.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.4166666666666667|36.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.4375|38.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.4583333333333333|31.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.4791666666666667|33.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.5|35.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.5208333333333334|30.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.5416666666666666|38.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.5625|43.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.5833333333333334|24.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.6041666666666666|27.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.625|22.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.6458333333333334|28.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.6666666666666666|28.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.6875|21.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.7083333333333334|25.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.7291666666666666|31.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.75|29.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.7708333333333334|28.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.7916666666666666|19.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.8125|16.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.8333333333333334|11.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.8541666666666666|10.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.875|12.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.8958333333333334|6.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.9166666666666666|3.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.9375|2.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.9583333333333334|0.0
LABORAL|Bus|E-10-71-PO-52|PUDAHUEL|0.9791666666666666|0.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.0|0.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.1875|2.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.20833333333333334|14.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.22916666666666666|33.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.25|45.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.2708333333333333|76.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.2916666666666667|130.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.3125|158.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.3333333333333333|90.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.3541666666666667|59.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.375|52.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.3958333333333333|48.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.4166666666666667|44.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.4375|52.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.4583333333333333|43.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.4791666666666667|49.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.5|49.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.5208333333333334|45.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.5416666666666666|37.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.5625|35.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.5833333333333334|39.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.6041666666666666|39.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.625|35.0
LABORAL|Bus|E-10-71-PO-75|PUDAHUEL|0.6458333333333334|49.0
